# To add a new Steam Workshop mod:
# Put a Steam Workshop ID and exact name on Steam Workshop seperated by a comma (whitespace ignored) all on a single line.
# If you want to add another mod do it on another line.
# Steam Workshop IDs can be found at the end of the Steam URL of the workshop item: https://steamcommunity.com/sharedfiles/filedetails/?id=2950280649.
# Note: the '#' character makes it so that the character and any character after it, on the same line, is ignored when the file is parsed.
# Example:
# 2950280649, DayZ-Rat # Remove the first '#' character on this line and you have a valid line for adding a workshop item.

1559212036, CF
1564026768, Community-Online-Tools
2545327648, Dabs Framework

2289456201, Namalsk Island
2289461232, Namalsk Survival

2572331007, DayZ-Expansion-Bundle
2116157322, DayZ-Expansion-Licensed
2793893086, DayZ-Expansion-Animations

2950280649, DayZ-Rat
1793351435, [Remastered] Arma Weapon Pack
1582756848, ZomBerry Admin Tools



# 2856976851, More Materials # Currently has no uses, needs other mods for use
# 2250764298, DayZ-Editor
